Date,Time,Azimuth,Elevation
2025-03-30,11:00:00,158.796300181579,40.146868175979606
2025-03-30,11:15:00,163.6187206361243,40.89433408400551
2025-03-30,11:30:00,168.53328296304323,41.453738054580896
2025-03-30,11:45:00,173.5154085158132,41.81786723431215
2025-03-30,12:00:00,178.53710645373235,41.981861020080714
2025-03-30,12:15:00,183.56830232470264,41.943495415584486
2025-03-30,12:30:00,188.57841518500845,41.70331822734515
2025-03-30,12:45:00,193.5379973897077,41.26461616212143
2025-03-30,13:00:00,198.4202370950282,40.63321827788251
2025-03-30,13:15:00,203.202148587272,39.81716358139573
2025-03-30,13:30:00,207.8653473466295,38.82627662033643
2025-03-30,13:45:00,212.39638544189663,37.671700695254394
2025-03-30,14:00:00,216.78668710133226,36.36543630349965
2025-03-30,14:15:00,221.03217645209367,34.91992151018092
2025-03-30,14:30:00,225.13270728743748,33.34767722453358
2025-03-30,14:45:00,229.09139448236448,31.66102923334701
2025-03-30,15:00:00,232.91393252365228,29.871907059609075
2025-03-30,15:15:00,236.60796103380937,27.99171241856985
2025-03-30,15:30:00,240.18250841698682,26.03124869567166
2025-03-30,15:45:00,243.6475301640281,24.00070015716943
2025-03-30,16:00:00,247.01354417095138,21.909650667157806
2025-03-30,16:15:00,250.2913527708664,19.767137284884306
2025-03-30,16:30:00,253.49184125815458,17.581737108275703
2025-03-30,16:45:00,256.6258409275671,15.36169496104916
2025-03-30,17:00:00,259.70404111269477,13.115121643618771
2025-03-30,17:15:00,262.73693999386575,10.850336851949608
2025-03-30,17:30:00,265.7348253443863,8.576561555578616
2025-03-30,17:45:00,268.7077743807534,6.305588550114095
2025-03-30,18:00:00,271.66566707651833,4.056644497690711
2025-03-30,18:15:00,274.6182083635437,1.873387098506861
2025-03-30,18:30:00,277.5749519684156,-0.1330368568087119
2025-03-30,18:45:00,280.54532279552575,-3.0084427474122792
2025-03-30,19:00:00,283.5386350300226,-5.263371964713595
2025-03-30,19:15:00,286.5640996369657,-7.489878285968639
2025-03-30,19:30:00,289.6308183068118,-9.68134970209021
2025-03-30,19:45:00,292.74776066839814,-11.830916214374612
2025-03-30,20:00:00,295.92371754473396,-13.93140182687423
2025-03-30,20:15:00,299.16722627805456,-15.975282986629717
2025-03-30,20:30:00,302.48646415637137,-17.954656689225622
2025-03-30,20:45:00,305.889102334205,-19.861219703434156
2025-03-30,21:00:00,309.3821173098303,-21.686263756500047
2025-03-30,21:15:00,312.9715591589629,-23.42069203640951
2025-03-30,21:30:00,316.6622748190781,-25.055060687006357
2025-03-30,21:45:00,320.4575936165554,-26.579651553081494
2025-03-30,22:00:00,324.35898920158513,-27.984581721564737
2025-03-30,22:15:00,328.3657356794588,-29.259952218287633
2025-03-30,22:30:00,332.47458895542604,-30.39603790839342
2025-03-30,22:45:00,336.6795327292974,-31.383516614436203
2025-03-30,23:00:00,340.971628736124,-32.21372926943146
2025-03-30,23:15:00,345.33901511340116,-32.87895916502268
2025-03-30,23:30:00,349.76708890722006,-33.37271258876407
2025-03-30,23:45:00,354.2388865705643,-33.68997827968015
2025-03-31,00:00:00,358.73565720366383,-33.82744280313035
2025-03-31,00:00:00,358.73565720366383,-33.82744280313035
2025-03-31,00:15:00,3.2375957477253223,-33.78364028334125
2025-03-31,00:30:00,7.7246725055791785,-33.55902023205269
2025-03-31,00:45:00,12.17748398160819,-33.155926246193786
2025-03-31,01:00:00,16.578046314717938,-32.57848769011049
2025-03-31,01:15:00,20.910457440498647,-31.832436391759448
2025-03-31,01:30:00,25.16138120424398,-30.924867488746155
2025-03-31,01:45:00,29.32033376080983,-29.863966818205586
2025-03-31,02:00:00,33.37977411875147,-28.65872852175983
2025-03-31,02:15:00,37.335027067258636,-27.318682951668308
2025-03-31,02:30:00,41.18407918518113,-25.85364969977222
2025-03-31,02:45:00,44.9272880875738,-24.273526699476072
2025-03-31,03:00:00,48.56704757903594,-22.58811980358331
2025-03-31,03:15:00,52.107444218328226,-20.807012566466504
2025-03-31,03:30:00,55.55392767887997,-18.939474948345815
2025-03-31,03:45:00,58.91301323515262,-16.99440597654466
2025-03-31,04:00:00,62.19202686309552,-14.980304246840712
2025-03-31,04:15:00,65.39889356552447,-12.905262404990237
2025-03-31,04:30:00,68.54196967955636,-10.776979945684275
2025-03-31,04:45:00,71.62991709653824,-8.60278910192668
2025-03-31,05:00:00,74.67161215124025,-6.3896919466830635
2025-03-31,05:15:00,77.67608531512138,-4.144405124631653
2025-03-31,05:30:00,80.65248762071383,-1.8734091952595215
2025-03-31,05:45:00,83.61007642148422,0.8422372120076265
2025-03-31,06:00:00,86.55821715759487,2.960655262359637
2025-03-31,06:15:00,89.5063980716526,5.1912727785994
2025-03-31,06:30:00,92.46425153378874,7.46115660518316
2025-03-31,06:45:00,95.44157927115072,9.742601997703282
2025-03-31,07:00:00,98.44837864161548,12.021153422439875
2025-03-31,07:15:00,101.49486311818657,14.28667683311429
2025-03-31,07:30:00,104.59147295391693,16.53057882412914
2025-03-31,07:45:00,107.74887107117405,18.744755678739082
2025-03-31,08:00:00,110.97791416376515,20.921115324097343
2025-03-31,08:15:00,114.2895909931865,23.05131983575276
2025-03-31,08:30:00,117.69491829321066,25.12662631341008
2025-03-31,08:45:00,121.2047790891815,27.137778290046878
2025-03-31,09:00:00,124.82969091609516,29.074932179625257
2025-03-31,09:15:00,128.57949182979257,30.92761639253594
2025-03-31,09:30:00,132.4629301197968,32.68472541292035
2025-03-31,09:45:00,136.48715352320778,34.33455788313341
2025-03-31,10:00:00,140.65710479734287,35.86490993789475
2025-03-31,10:15:00,144.97484222871964,37.26323362195562
2025-03-31,10:30:00,149.438830651775,38.51687073089694
2025-03-31,10:45:00,154.0432754126923,39.613367153596144
2025-03-31,11:00:00,158.777591768349,40.54086269743279
2025-03-31,11:15:00,163.6261236210214,41.288541282729696
2025-03-31,11:30:00,168.56822327268083,41.84711194751543
2025-03-31,11:45:00,173.5787679253333,42.20927706758471
2025-03-31,12:00:00,178.62913496437466,42.37013724841769
2025-03-31,12:15:00,183.6885785088688,42.3274820359115
2025-03-31,12:30:00,188.72586281902312,42.08192619866304
2025-03-31,12:45:00,193.71095714737743,41.63687222909706
2025-03-31,13:00:00,198.61658260689026,40.99830424318636
2025-03-31,13:15:00,203.41942946350827,40.17444275612504
2025-03-31,13:30:00,208.10093951625578,39.17530631654641
2025-03-31,13:45:00,212.64763122518218,38.012231654206346
2025-03-31,14:00:00,217.05101248132598,36.6974014453097
2025-03-31,14:15:00,221.3071791192698,35.24341714106061
2025-03-31,14:30:00,225.41621453030606,33.66293990014345
2025-03-31,14:45:00,229.3814939129205,31.96841106279068
2025-03-31,15:00:00,233.20898079706743,30.17185154969862
2025-03-31,15:15:00,236.9065763629689,28.284732220689023
2025-03-31,15:30:00,240.4835523009317,26.317905954474547
2025-03-31,15:45:00,243.95008285099448,24.281589589115754
2025-03-31,16:00:00,247.31687726710894,22.185385034487894
2025-03-31,16:15:00,250.59490137999524,20.038334465607512
2025-03-31,16:30:00,253.7951771651476,17.849007318934596
2025-03-31,16:45:00,256.9286476619519,15.625625456661515
2025-03-31,17:00:00,260.0060912537285,13.376253324193758
2025-03-31,17:15:00,263.0380747476694,11.109119525125989
2025-03-31,17:30:00,266.03493621697027,8.833251676922554
2025-03-31,17:45:00,269.00678665715,6.5599747706120795
2025-03-31,18:00:00,271.96352474802535,4.307172406850273
2025-03-31,18:15:00,274.9148601289505,2.1139103925671865
2025-03-31,18:30:00,277.87033794067736,0.0838430232798208
2025-03-31,18:45:00,280.8393615626007,-2.745653055936449
2025-03-31,19:00:00,283.83121076258817,-4.998095305460252
2025-03-31,19:15:00,286.8550489834884,-7.221527788600634
2025-03-31,19:30:00,289.9199168860636,-9.409348675994085
2025-03-31,19:45:00,293.0347090682093,-11.554700624801482
2025-03-31,20:00:00,296.20812685601743,-13.650423825532267
2025-03-31,20:15:00,299.44860336622406,-15.689015686474391
2025-03-31,20:30:00,302.76419708608125,-17.6626003554348
2025-03-31,20:45:00,306.16244664098633,-19.56290950499511
2025-03-31,21:00:00,309.65018413138733,-21.38127915622876
2025-03-31,21:15:00,313.2333066072016,-23.108667798969964
2025-03-31,21:30:00,316.91650433436695,-24.73569933890184
2025-03-31,21:45:00,320.70295334412754,-26.252736928547627
2025-03-31,22:00:00,324.5939865730219,-27.649992981151502
2025-03-31,22:15:00,328.588761241656,-28.91767745202311
2025-03-31,22:30:00,332.6839529518878,-30.04618616237692
2025-03-31,22:45:00,336.87351489071324,-31.026326960843527
2025-03-31,23:00:00,341.1485401871862,-31.849575455137828
2025-03-31,23:15:00,345.4972693775085,-32.50834848074892
2025-03-31,23:30:00,349.90527696240497,-32.99627794840702
2025-03-31,23:45:00,354.3558492792363,-33.30846310823654
2025-04-01,00:00:00,358.8305476556185,-33.44167911912194
2025-04-01,00:00:00,358.8305476556185,-33.44167911912194
2025-04-01,00:15:00,3.3099244863853983,-33.394521210991925
2025-04-01,00:30:00,7.774330413504231,-33.16746892829021
2025-04-01,00:45:00,12.204740427810236,-32.76286369810046
2025-04-01,01:00:00,16.58352344186835,-32.18480193662351
2025-04-01,01:15:00,20.895084519563625,-31.438955432305676
2025-04-01,01:30:00,25.126335088022643,-30.532337538719975
2025-04-01,01:45:00,29.266972350862773,-29.47303680848036
2025-04-01,02:00:00,33.309569465658626,-28.269940971366278
2025-04-01,02:15:00,37.24950348290599,-26.932470706170573
2025-04-01,02:30:00,41.08476004593655,-25.470337596006548
